id,title,start_date,end_date,statistics
33857,"Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen Specials",2011-02-18,2011-02-18,"{'status': {'watching': '23', 'completed': '67', 'on_hold': '7', 'dropped': '59', 'plan_to_watch': '83'}, 'num_list_users': 239}"
33858,Kissaten Soudou,2009-10-08,2009-10-08,"{'status': {'watching': '16', 'completed': '179', 'on_hold': '2', 'dropped': '41', 'plan_to_watch': '68'}, 'num_list_users': 306}"
33859,Chicken Papa,2010-03-30,2010-03-30,"{'status': {'watching': '28', 'completed': '2337', 'on_hold': '10', 'dropped': '65', 'plan_to_watch': '231'}, 'num_list_users': 2671}"
33860,Saru Kani Gassen (Yokoku),2012-07-31,2012-07-31,"{'status': {'watching': '17', 'completed': '208', 'on_hold': '1', 'dropped': '35', 'plan_to_watch': '66'}, 'num_list_users': 327}"
33861,Nani no Yaku ni Mo Tatanai Karappona Hanashi,2013-08-28,2013-10-23,"{'status': {'watching': '13', 'completed': '178', 'on_hold': '1', 'dropped': '42', 'plan_to_watch': '67'}, 'num_list_users': 301}"
33862,Chichi Kaeru,2015-06-12,2015-06-12,"{'status': {'watching': '12', 'completed': '146', 'on_hold': '5', 'dropped': '44', 'plan_to_watch': '69'}, 'num_list_users': 276}"
33863,Cakes,2016-05-09,2016-05-09,"{'status': {'watching': '24', 'completed': '192', 'on_hold': '6', 'dropped': '56', 'plan_to_watch': '119'}, 'num_list_users': 397}"
33864,Fujilog (ONA),2012-03-29,2012-07-20,"{'status': {'watching': '14', 'completed': '141', 'on_hold': '4', 'dropped': '51', 'plan_to_watch': '72'}, 'num_list_users': 282}"
33865,8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,2016-11-25,2017-12-22,"{'status': {'watching': '1631', 'completed': '6110', 'on_hold': '669', 'dropped': '651', 'plan_to_watch': '2216'}, 'num_list_users': 11277}"
33866,Wonder,2012-12-22,2012-12-22,"{'status': {'watching': '11', 'completed': '332', 'on_hold': '3', 'dropped': '30', 'plan_to_watch': '75'}, 'num_list_users': 451}"
33867,Kabi Usagi (2016),2016-06-26,2016-06-26,"{'status': {'watching': '34', 'completed': '149', 'on_hold': '6', 'dropped': '62', 'plan_to_watch': '121'}, 'num_list_users': 372}"
33870,Kabi Usagi,2012-07-05,2012-08-10,"{'status': {'watching': '18', 'completed': '165', 'on_hold': '1', 'dropped': '45', 'plan_to_watch': '74'}, 'num_list_users': 303}"
33871,Estima: Sense of Wonder,2016-06-24,2016,"{'status': {'watching': '30', 'completed': '514', 'on_hold': '7', 'dropped': '69', 'plan_to_watch': '154'}, 'num_list_users': 774}"
33872,Fujinkoron-senpai,2016-05-23,2016-05-23,"{'status': {'watching': '22', 'completed': '319', 'on_hold': '3', 'dropped': '38', 'plan_to_watch': '109'}, 'num_list_users': 491}"
33874,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Maguro no Notta Keikan,2005-01-02,2005-01-02,"{'status': {'watching': '40', 'completed': '321', 'on_hold': '23', 'dropped': '65', 'plan_to_watch': '309'}, 'num_list_users': 758}"
33875,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu vs. Nakimushi Idol!? Nihon 1-shuu Dai Sugoroku Game!!,2005-03-27,2005-03-27,"{'status': {'watching': '33', 'completed': '240', 'on_hold': '22', 'dropped': '62', 'plan_to_watch': '263'}, 'num_list_users': 620}"
33876,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san to Chuuken Lucky Monogatari - Kameari Dai Houimou wo Kawase!!,2005-10-23,2005-10-23,"{'status': {'watching': '34', 'completed': '265', 'on_hold': '17', 'dropped': '60', 'plan_to_watch': '261'}, 'num_list_users': 637}"
33877,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha,2006-04-02,2006-04-02,"{'status': {'watching': '34', 'completed': '274', 'on_hold': '20', 'dropped': '63', 'plan_to_watch': '293'}, 'num_list_users': 684}"
33878,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Renewal Daisakusen!! - Aa, Omoide no Hanayashiki",2006-09-24,2006-09-24,"{'status': {'watching': '34', 'completed': '244', 'on_hold': '19', 'dropped': '62', 'plan_to_watch': '257'}, 'num_list_users': 616}"
33879,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Seton Tankentai! Sumidagawa no Chikai - Omoide no Shiroi Kujira wo Sagase!,2007-08-05,2007-08-12,"{'status': {'watching': '36', 'completed': '244', 'on_hold': '18', 'dropped': '64', 'plan_to_watch': '264'}, 'num_list_users': 626}"
33880,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san no Sushi Kui Nee! - Choujou Maguro Taiketsu!!,2007-09-30,2007-10-07,"{'status': {'watching': '35', 'completed': '256', 'on_hold': '18', 'dropped': '65', 'plan_to_watch': '268'}, 'num_list_users': 642}"
33881,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Washi to Ore!? - Bokura wa Asakusa Shounen Tanteidan!,2008-04-06,2008-04-13,"{'status': {'watching': '38', 'completed': '247', 'on_hold': '17', 'dropped': '65', 'plan_to_watch': '281'}, 'num_list_users': 648}"
